"Kod";"Nazwa";"Poziomy wykształcenia";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"ogółem";"2021";196868;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"mężczyźni";"2017";88420;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"mężczyźni";"2018";78386;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"mężczyźni";"2019";72405;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"mężczyźni";"2020";92581;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"mężczyźni";"2021";78516;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"kobiety";"2017";146179;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"kobiety";"2018";134468;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"kobiety";"2019";119209;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"kobiety";"2020";138876;"osoba";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"kobiety";"2021";118352;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"ogółem";"2017";117266;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"ogółem";"2018";109113;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"ogółem";"2019";98997;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"ogółem";"2020";125880;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"ogółem";"2021";107118;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"mężczyźni";"2017";36530;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"mężczyźni";"2018";33308;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"mężczyźni";"2019";31199;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"mężczyźni";"2020";43042;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"mężczyźni";"2021";36194;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"kobiety";"2017";80736;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"kobiety";"2018";75805;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"kobiety";"2019";67798;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"kobiety";"2020";82838;"osoba";"";
0000000;"POLSKA";"średnie ogólnokształcące";"kobiety";"2021";70924;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"ogółem";"2017";281679;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"ogółem";"2018";248495;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"ogółem";"2019";220807;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"ogółem";"2020";260272;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"ogółem";"2021";221509;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"mężczyźni";"2017";153628;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"mężczyźni";"2018";133610;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"mężczyźni";"2019";121165;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"mężczyźni";"2020";147320;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"mężczyźni";"2021";124805;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"kobiety";"2017";128051;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"kobiety";"2018";114885;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"kobiety";"2019";99642;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"kobiety";"2020";112952;"osoba";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"kobiety";"2021";96704;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2017";298711;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2018";261934;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2019";229769;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2020";274742;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2021";242003;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2017";161266;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2018";139265;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2019";123537;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2020";153184;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2021";133771;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2017";137445;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2018";122669;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2019";106232;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2020";121558;"osoba";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2021";108232;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2017";68813;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2018";62842;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2019";56022;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2020";68822;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"ogółem";"2021";58738;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"mężczyźni";"2017";31508;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"mężczyźni";"2018";27909;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"mężczyźni";"2019";25287;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"mężczyźni";"2020";32130;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"mężczyźni";"2021";27631;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"kobiety";"2017";37305;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"kobiety";"2018";34933;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"kobiety";"2019";30735;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"kobiety";"2020";36692;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"kobiety";"2021";31107;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"ogółem";"2017";8593;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"ogółem";"2018";8147;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"ogółem";"2019";7360;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"ogółem";"2020";9616;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"ogółem";"2021";7659;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"mężczyźni";"2017";2725;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"mężczyźni";"2018";2564;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"mężczyźni";"2019";2343;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"mężczyźni";"2020";3150;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"mężczyźni";"2021";2522;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"kobiety";"2017";5868;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"kobiety";"2018";5583;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"kobiety";"2019";5017;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"kobiety";"2020";6466;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"wyższe";"kobiety";"2021";5137;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"ogółem";"2017";13973;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"ogółem";"2018";13005;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"ogółem";"2019";11626;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"ogółem";"2020";14280;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"ogółem";"2021";12203;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2017";5079;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2018";4597;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2019";4203;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2020";5509;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2021";4851;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"kobiety";"2017";8894;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"kobiety";"2018";8408;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"kobiety";"2019";7423;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"kobiety";"2020";8771;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"policealne oraz średnie zawodowe";"kobiety";"2021";7352;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"ogółem";"2017";6608;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"ogółem";"2018";6272;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"ogółem";"2019";5735;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"ogółem";"2020";7384;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"ogółem";"2021";6274;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"mężczyźni";"2017";1865;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"mężczyźni";"2018";1718;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"mężczyźni";"2019";1697;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"mężczyźni";"2020";2338;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"mężczyźni";"2021";2002;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"kobiety";"2017";4743;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"kobiety";"2018";4554;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"kobiety";"2019";4038;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"kobiety";"2020";5046;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"średnie ogólnokształcące";"kobiety";"2021";4272;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2017";18497;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2018";16626;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2019";14801;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2020";17723;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2021";15087;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2017";10340;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2018";9108;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2019";8232;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2020";10203;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2021";8706;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2017";8157;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2018";7518;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2019";6569;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2020";7520;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2021";6381;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2017";21142;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2018";18792;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2019";16500;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2020";19819;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2021";17515;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2017";11499;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2018";9922;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2019";8812;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2020";10930;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2021";9550;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2017";9643;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2018";8870;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2019";7688;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2020";8889;"osoba";"";
0200000;"DOLNOŚLĄSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"kobiety";"2021";7965;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2017";81543;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2018";72655;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2019";64060;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2020";73482;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"ogółem";"2021";61861;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"mężczyźni";"2017";32718;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"mężczyźni";"2018";28440;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"mężczyźni";"2019";25490;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"mężczyźni";"2020";30593;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"mężczyźni";"2021";25273;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"kobiety";"2017";48825;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"kobiety";"2018";44215;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"kobiety";"2019";38570;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"kobiety";"2020";42889;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"kobiety";"2021";36588;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"ogółem";"2017";7297;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"ogółem";"2018";6671;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"ogółem";"2019";6085;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"ogółem";"2020";6936;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"ogółem";"2021";5697;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"mężczyźni";"2017";1962;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"mężczyźni";"2018";1875;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"mężczyźni";"2019";1704;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"mężczyźni";"2020";1947;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"mężczyźni";"2021";1592;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"kobiety";"2017";5335;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"kobiety";"2018";4796;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"kobiety";"2019";4381;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"kobiety";"2020";4989;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"wyższe";"kobiety";"2021";4105;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"ogółem";"2017";15636;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"ogółem";"2018";14204;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"ogółem";"2019";12688;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"ogółem";"2020";14508;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"ogółem";"2021";12150;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2017";4543;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2018";4009;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2019";3719;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2020";4486;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"mężczyźni";"2021";3750;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"kobiety";"2017";11093;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"kobiety";"2018";10195;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"kobiety";"2019";8969;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"kobiety";"2020";10022;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"policealne oraz średnie zawodowe";"kobiety";"2021";8400;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"ogółem";"2017";8239;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"ogółem";"2018";7686;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"ogółem";"2019";6882;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"ogółem";"2020";8389;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"ogółem";"2021";7069;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"mężczyźni";"2017";2211;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"mężczyźni";"2018";1948;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"mężczyźni";"2019";1896;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"mężczyźni";"2020";2391;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"mężczyźni";"2021";1925;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"kobiety";"2017";6028;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"kobiety";"2018";5738;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"kobiety";"2019";4986;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"kobiety";"2020";5998;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"średnie ogólnokształcące";"kobiety";"2021";5144;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2017";23525;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2018";20556;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2019";17902;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2020";20217;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"ogółem";"2021";16914;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2017";10885;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2018";9406;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2019";8302;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2020";9858;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"mężczyźni";"2021";7980;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2017";12640;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2018";11150;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2019";9600;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2020";10359;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"zasadnicze zawodowe/branżowe";"kobiety";"2021";8934;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2017";26846;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2018";23538;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2019";20503;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2020";23432;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"ogółem";"2021";20031;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2017";13117;"osoba";"";
0400000;"KUJAWSKO-POMORSKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"mężczyźni";"2018";11202;"osoba";"";
